id,value
신한 구리 선물 ETN(H)	,	25090
QV 소프트웨어 TOP5 ETN	,	24820
신한 다우존스지수 선물 ETN(H)	,	24660
QV 자동차 TOP5 ETN	,	24650
KINDEX 골드선물 레버리지(합성 H)	,	24507
미래에셋 로우볼 ETN	,	24380
미래에셋 미디어엔터 Core5 ETN	,	24330
QV KTOP30 ETN	,	24280
삼성 China A50 선물 ETN(H)	,	24220
미래에셋 미국 대형주 ETN(H)	,	24150
미래에셋 미국 중형주 ETN(H)	,	23990
미래에셋 유럽 대형주 ETN(H)	,	23840
TRUE 다우존스 지속가능경영 코리아 ETN	,	23580
TRUE 빅5 동일가중 ETN	,	23500
KBSTAR 채권혼합	,	23493
KOSEF 200선물레버리지	,	23408
신한 인버스 천연가스 선물 ETN(H)	,	23360
미래에셋 유럽 중형주 ETN(H)	,	23230
삼성 미국 중소형 가치주 ETN(H)	,	23220
삼성 미국 대형 가치주 ETN(H)	,	23180
QV 에너지 TOP5 ETN	,	23100
삼성 미국 중소형 성장주 ETN(H)	,	23030
삼성 미국 중소형 가치주 ETN	,	23020
삼성 미국 대형 가치주 ETN	,	22970
QV 화학 TOP5 ETN	,	22920
QV 전기차 테마 ETN	,	22900
미래에셋 Q150 Core5 ETN	,	22810
삼성 미국 대형 성장주 ETN(H)	,	22800
삼성 미국 중소형 성장주 ETN	,	22730
신한 인버스 옥수수 선물 ETN(H)	,	22530
삼성 미국 대형 성장주 ETN	,	22490
KODEX KTOP30	,	22470
KODEX 은선물(H)	,	22400
녹십자홀딩스2우	,	22334
TRUE 코리아프리미어 ETN	,	22310
미래에셋 일본 바이백 ETN(H)	,	22300
TIGER 200IT레버리지	,	22060
QV 롱숏 K150 매수 로우볼 매도 ETN	,	22060
KODEX 200동일가중	,	22020
신한 인버스 콩 선물 ETN(H)	,	21880
진양폴리	,	21850
KODEX 배당성장채권혼합	,	21690
미래에셋 중국 심천 100 ETN	,	21620
KOSEF 미국달러선물 인버스2X(합성)	,	21539
미래에셋 호주 ASX200 ETN(H)	,	21520
미래에셋 미국 헬스케어 ETN(H)	,	21450
삼양사우	,	21427
하이트진로2우B	,	21360
TRUE 섹터탑픽 ETN	,	21280
TRUE 인버스 엔선물 ETN	,	21250
KBSTAR 5대그룹주	,	21223
미래에셋 미국 고배당주 ETN(H)	,	21180
미래에셋 차이나 대표주 15 ETN(H)	,	21120
삼성 증권 테마주 ETN	,	21120
TIGER 반도체	,	20868
신한 금 선물 ETN(H)	,	20730
